Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Exposure,Turbidity,Cyclone_Frequency,Date_Month,Date_Year,Percent_Bleaching,Temperature_Mean,Windspeed,SSTA,SSTA_DHW,TSA,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_condition
8816,19.67,-156.03,Pacific,Eastern Hawaii,Exposed,0.0235,42.36,9,2008,75,298.92,4,-0.99,0,-1,0.36,15-09-2008,small amounts of bleached coral with light algae growth,small amounts of bleached coral with light algae growth,Bleaching percent averaged from code: Severe (>50% Bleached)
8880,24.6324,-81.1111,Atlantic,Bahamas and Florida Keys,Exposed,0.1387,62.59,8,1998,75,299.87,5,1.7,2.98,1.68,0.25,15-08-1998,light bleaching; not bleached if shaded,light bleaching; not bleached if shaded,Bleaching percent averaged from code: Severe (>50% Bleached)
8981,18.3833,-154.6333,Pacific,Eastern Hawaii,Exposed,0.0235,46.25,8,1986,75,298.28,3,0.49,0,0.26,0.26,15-08-1986,Extensive coral reef bleaching of Pocillopora spp. began in August 1986 on the Hawaiian islands of Hawaii; Maui; and Oahu from the shoreline to 45.7m depth.  From 20-100% of the surface areas of approximately 80% of the colonies were bleached.  Bleaching,Extensive coral reef bleaching of Pocillopora spp. began in August 1986 on the Hawaiian islands of Hawaii; Maui; and Oahu from the shoreline to 45.7m depth.  From 20-100% of the surface areas of approximately 80% of the colonies were bleached.  Bleaching,Bleaching percent averaged from code: Severe (>50% Bleached)
8985,24.8194,-80.786,Atlantic,Bahamas and Florida Keys,Sometimes,0.2015,59.52,8,2001,75,299.76,3,-0.36,0,-0.47,0.39,15-08-2001,heavily bleached,heavily bleached,Bleaching percent averaged from code: Severe (>50% Bleached)
8986,18.34,-64.747,Atlantic,Hispaniola Puerto Rico and Lesser Antilles,Sheltered,0.045,85.57,8,2005,75,300.35,5,1.48,9.04,0.8,0.22,15-08-2005,There is now severe bleaching of most of the coral species on the reefs of St. John; US Virgin Islands.; Bleaching was first noted on Millepora; Agaricia; and the zoanthid Palythoa beginning in August.  In the last 2 weeks; the bleaching has become,There is now severe bleaching of most of the coral species on the reefs of St. John; US Virgin Islands.; Bleaching was first noted on Millepora; Agaricia; and the zoanthid Palythoa beginning in August.  In the last 2 weeks; the bleaching has become,Bleaching percent averaged from code: Severe (>50% Bleached)
9155,27.83,-175.83,Pacific,North-west Hawaii,Sheltered,0.0694,51.8,9,2002,75,296.59,7,0.53,5.99,0.21,0.27,15-09-2002,Pearl & Hermes; Midway; Kure. bleaching was most pronounced in backreef and reef flat habitats exposed to the most intense sunlight; warmest temperatures and strongest ultraviolet radiation. Most of Montipora; Pocillopora were very susceptable to bleachi,Pearl & Hermes; Midway; Kure. bleaching was most pronounced in backreef and reef flat habitats exposed to the most intense sunlight; warmest temperatures and strongest ultraviolet radiation. Most of Montipora; Pocillopora were very susceptable to bleachi,Bleaching percent averaged from code: Severe (>50% Bleached)
9156,28.2,-177.35,Pacific,North-west Hawaii,Exposed,0.0322,46.6,9,2002,75,296.36,6,0.47,11.43,0.19,0.26,15-09-2002,Pearl & Hermes; Midway; Kure. bleaching was most pronounced in backreef and reef flat habitats exposed to the most intense sunlight; warmest temperatures and strongest ultraviolet radiation.  Most of Montipora; Pocillopora were very susceptable to bleachi,Pearl & Hermes; Midway; Kure. bleaching was most pronounced in backreef and reef flat habitats exposed to the most intense sunlight; warmest temperatures and strongest ultraviolet radiation.  Most of Montipora; Pocillopora were very susceptable to bleachi,Bleaching percent averaged from code: Severe (>50% Bleached)
9198,18.3333,-64.9333,Atlantic,Hispaniola Puerto Rico and Lesser Antilles,Sheltered,0.0385,54.3,9,1998,75,300.37,6,-0.39,2.48,-0.55,0.22,15-09-1998,Widespread,Widespread,Bleaching percent averaged from code: Severe (>50% Bleached)
9295,17.914,-67.223,Atlantic,Hispaniola Puerto Rico and Lesser Antilles,Exposed,0.0593,67.78,10,2003,75,300.81,4,0.44,0,0.37,0.19,15-10-2003,Milleporids; mostly M.alcicornis are bleached at all depth ranges; from 0.5 m to 25 m. They are still alive and in many instances; part of the colony or a side branch has normal coloration.Colonies of coral species such as M.faveolata; M. franksi; S.sider,Milleporids; mostly M.alcicornis are bleached at all depth ranges; from 0.5 m to 25 m. They are still alive and in many instances; part of the colony or a side branch has normal coloration.Colonies of coral species such as M.faveolata; M. franksi; S.sider,Bleaching percent averaged from code: Severe (>50% Bleached)
9687,10.5333,108.95,Pacific,South Vietnam,Exposed,0.0581,49.19,7,1998,75,300.2,3,2.43,9,1.73,0.83,15-07-1998,Hundreds  of 2-3 m diameter; massive corals were killed; including 9 m diameter colonies which were several hundred years old. Many corals were dead by mid-September; with total losses of about 70-80% on shallow water (1-2 m). In deper water; there was 90,Hundreds  of 2-3 m diameter; massive corals were killed; including 9 m diameter colonies which were several hundred years old. Many corals were dead by mid-September; with total losses of about 70-80% on shallow water (1-2 m). In deper water; there was 90,Bleaching percent averaged from code: Severe (>50% Bleached)
9690,8.711,106.6497,Pacific,South Vietnam,Exposed,0.0661,49.29,10,1998,75,300.79,4,-0.2,9.45,-1.43,0.5,15-10-1998,70-90% bleaching 1st seen 7/22/98,70-90% bleaching 1st seen 7/22/98,Bleaching percent averaged from code: Severe (>50% Bleached)
58,-18.7691,146.6305,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0797,35.21,2,1998,30.5,299.18,2,1.41,4.49,1.37,0.66,15-02-1998,Widespread,Widespread,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
93,-18.5253,147.1444,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0712,42.48,2,1998,30.5,299.2,3,1.77,1.39,1.7,0.23,15-02-1998,significant bleaching,significant bleaching,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
392,-26.6502,153.1824,Pacific,Moreton Bay eastern Australia,Exposed,0.0879,49.23,3,1998,30.5,296.45,5,0.6,6.22,0.26,0.22,15-03-1998,60-70%,60-70%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
393,-26.65,153.3333,Pacific,Moreton Bay eastern Australia,Exposed,0.058,49.08,3,1998,30.5,296.67,6,0.28,8.69,0.01,0.29,15-03-1998,Moderate bleaching; Water temperatures were around 28C (maybe as high as 30C); where they are normally in the mid-20Cs.,Moderate bleaching; Water temperatures were around 28C (maybe as high as 30C); where they are normally in the mid-20Cs.,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
394,-19.7308,149.1667,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0917,48.27,3,1998,30.5,298.58,6,0.74,2.78,0.33,0.29,15-03-1998,in late feb temps were high at 29.9C but had reduced by time bleaching occurred,in late feb temps were high at 29.9C but had reduced by time bleaching occurred,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
395,-16.9397,145.7629,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1961,42.7,3,1999,30.5,299.42,5,0.94,9.38,0.18,0.46,15-03-1999,20-30% bleached,20-30% bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
398,-21.3979,152.5104,Pacific,Pompey and Swain Reefs south-east Great Barrier Reef,Exposed,0.0574,56.58,3,2002,30.5,298.45,7,0.33,4.77,-0.12,0.24,15-03-2002,lots of fluoros and white corals,lots of fluoros and white corals,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
418,-20.7989,150.4522,Pacific,Pompey and Swain Reefs south-east Great Barrier Reef,Sheltered,0.0754,80.68,3,2002,30.5,298.34,7,0.31,6.27,-0.13,0.33,15-03-2002,fluoros and lots of white on side,fluoros and lots of white on side,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
420,-20.6841,149.145,Pacific,Southern Great Barrier Reef,Sheltered,0.0941,41.55,3,2002,30.5,298.12,6,-0.26,8.68,-1.06,0.57,15-03-2002,low cover,low cover,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
466,-18.3586,147.2047,Pacific,Central and northern Great Barrier Reef,Exposed,0.0423,41.27,3,2002,30.5,299.46,8,-1.2,2.56,-1.9,0.35,15-03-2002,lots of white and fluoros,lots of white and fluoros,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
467,-18.0514,146.5585,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0957,21.71,3,2002,30.5,299.3,8,0.66,2.75,-0.07,0.58,15-03-2002,slopes pale. Cover low on crest,slopes pale. Cover low on crest,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
469,-17.8476,146.4879,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0783,39.17,3,2002,30.5,299.35,8,0.72,4.64,-0.04,0.53,15-03-2002,pale slopes and bommies,pale slopes and bommies,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
488,-15.3594,145.586,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0785,39.37,3,2002,30.5,299.49,8,0.12,0,-0.71,0.48,15-03-2002,lots of white on sides of bommies,lots of white on sides of bommies,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
489,-15.2908,145.5758,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0647,40.24,3,2002,30.5,299.52,8,0.49,1.05,-0.26,0.43,15-03-2002,white bommies seaward of main reef,white bommies seaward of main reef,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
490,-15.1405,145.5761,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0797,44.37,3,2002,30.5,299.49,8,-0.09,1.03,-0.82,0.4,15-03-2002,lots of fluoro and white plates,lots of fluoro and white plates,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
491,-14.9383,145.4855,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0838,54.23,3,2002,30.5,299.45,8,0,1.11,-0.74,0.5,15-03-2002,pale corals on slope,pale corals on slope,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
659,-18.9038,147.9568,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0684,46.08,4,1998,30.5,299.14,4,1.05,3.88,-0.56,0.23,15-04-1998,<2%,<2%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
696,-14.173,-169.634,Pacific,Samoa Tuvalu and Tonga,Exposed,0.0245,50.38,3,2002,30.5,301.51,4,-0.13,2.35,-0.14,0.49,15-03-2002,Bleaching seen on branching and foliose,Bleaching seen on branching and foliose,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
709,-18.4091,146.7066,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1039,41.79,4,1998,30.5,299.24,5,1.03,8.2,-1.28,0.43,15-04-1998,1-2%,1-2%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
719,-17.7511,146.1526,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1626,43,4,1998,30.5,299.39,5,0.36,8.77,-2.2,0.46,15-04-1998,0-5% bleached,0-5% bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
725,-16.7012,146.0509,Pacific,Central and northern Great Barrier Reef,Sheltered,0.066,50.53,4,1998,30.5,299.53,5,1.5,5.41,-0.98,0.54,15-04-1998,5-10%,5-10%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
778,-23.9054,152.4082,Pacific,Southern Great Barrier Reef,Sheltered,0.0877,51.18,4,1998,30.5,297.55,6,1.16,7.53,-0.38,0.3,15-04-1998,Mild fluoro corals,Mild fluoro corals,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
792,-20.15,149.0667,Pacific,Central and northern Great Barrier Reef,Sometimes,0.0627,46.13,4,1998,30.5,298.55,4,1.05,5.98,-0.7,0.37,15-04-1998,1-50%,1-50%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
793,-20.1067,148.57,Pacific,Central and northern Great Barrier Reef,Sheltered,0.072,46.8,4,1998,30.5,298.57,4,1.37,8.02,-0.84,0.5,15-04-1998,Not much coral,Not much coral,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
797,-19.3605,148.636,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0777,49,4,1998,30.5,298.74,4,0.79,0,-0.77,0.29,15-04-1998,0.1,0.1,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
798,-19.3419,148.6335,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0777,49,4,1998,30.5,298.74,4,0.79,0,-0.77,0.29,15-04-1998,0.1,0.1,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
800,-19.167,146.85,Pacific,Central and northern Great Barrier Reef,Sheltered,0.2173,43.52,4,1998,30.5,299.09,4,0.62,13.57,-2.04,0.7,15-04-1998,Patches of pale coral,Patches of pale coral,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
801,-18.7333,147.2667,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0481,44.02,4,1998,30.5,299.21,4,0.17,5.78,-1.73,0.43,15-04-1998,30-50%,30-50%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
802,-18.7185,146.5751,Pacific,Central and northern Great Barrier Reef,Sheltered,0.07,48.95,4,1998,30.5,299.22,4,0.79,12.33,-1.27,2.11,15-04-1998,Low coral cover; Mainly Porites,Low coral cover; Mainly Porites,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
804,-18.65,146.55,Pacific,Central and northern Great Barrier Reef,Exposed,0.0661,46.29,4,1998,30.5,299.25,4,0.71,37.82,0.69,12.38,15-04-1998,30-50%,30-50%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
805,-18.4,146.8333,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0791,41.3,4,1998,30.5,299.23,5,0.07,4.67,-1.97,0.36,15-04-1998,30-50%,30-50%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
807,-18.2333,146.7667,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1253,38.91,4,1998,30.5,299.3,5,0.61,4.47,-1.73,0.29,15-04-1998,0.3,0.3,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
810,-18.1,146.7833,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0749,39.37,4,1998,30.5,299.34,5,0.72,3.54,-1.34,0.39,15-04-1998,5-15%,5-15%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
811,-18.0833,146.8,Pacific,Central and northern Great Barrier Reef,Exposed,0.0631,38.97,4,1998,30.5,299.34,5,0.72,3.54,-1.34,0.39,15-04-1998,1-50%,1-50%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
821,-17.4856,146.3902,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0812,59.55,4,1998,30.5,299.47,5,0.05,4.71,-2.11,0.43,15-04-1998,20-30%,20-30%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
829,-16.3029,145.4979,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1491,47.48,4,1998,30.5,299.52,5,1.28,9.93,-1.09,0.48,15-04-1998,Poor coral cover,Poor coral cover,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
831,-15.9984,145.4376,Pacific,Central and northern Great Barrier Reef,Exposed,0.0739,45.97,4,1998,30.5,299.49,5,1.1,5.7,-1.55,0.32,15-04-1998,Low cover and dirty water,Low cover and dirty water,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
833,-15.7796,145.5803,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0881,46.52,4,1998,30.5,299.5,5,0.62,3.86,-1.79,0.48,15-04-1998,0.1,0.1,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
840,-12.2167,143.2833,Pacific,Torres Strait and far northern Great Barrier Reef,Sheltered,0.1196,41.23,4,1998,30.5,299.96,5,-0.65,5.31,-2.68,0.58,15-04-1998,10-20%,10-20%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
842,-11.7667,143.1,Pacific,Torres Strait and far northern Great Barrier Reef,Exposed,0.0713,37.42,4,1998,30.5,300.08,5,0.07,4.48,-1.95,0.47,15-04-1998,10-20%,10-20%,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1024,-14.55,145.5833,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0558,56.39,5,1998,30.5,299.63,7,1.58,2.53,-1.19,0.3,15-05-1998,Suffered bleaching to a lessere extent as compared to other reefs in the area.,Suffered bleaching to a lessere extent as compared to other reefs in the area.,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1025,-13.6667,122,Indian,Scott Reef west Australia,Sheltered,0.0867,44.81,5,1998,30.5,301.95,6,0.88,12.93,0.02,1.11,15-05-1998,Suffered bleaching to a lesser extent as compared to other reefs in the area.,Suffered bleaching to a lesser extent as compared to other reefs in the area.,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1163,-10.5014,105.5092,Indian,Christmas Island Indian Ocean,Exposed,0.0352,43.28,12,1997,30.5,300.71,7,0.68,0,-0.35,0.47,15-12-1997,40% bleached and died,40% bleached and died,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1212,23.764,-76.12,Atlantic,Bahamas and Florida Keys,Sheltered,0.0423,51.1,6,1995,30.5,299.82,5,-1,7.86,-2.51,0.36,15-06-1995,30% of Porites asteroides bleached in April 1991and 80% in October. 30% of Montastraea cf. annularis bleached in August and 15% in October,30% of Porites asteroides bleached in April 1991and 80% in October. 30% of Montastraea cf. annularis bleached in August and 15% in October,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1213,23.796,-76.137,Atlantic,Bahamas and Florida Keys,Sheltered,0.0392,51.1,2,1995,30.5,299.83,7,-0.81,0,-5.93,0.23,15-02-1995,34% of Porites asteroides bleached in April 1995; 48% in August and 60% in October. 15% of Montastraea cf. annularis bleached in Feb 1995 and 55% bleached in October 1995.,34% of Porites asteroides bleached in April 1995; 48% in August and 60% in October. 15% of Montastraea cf. annularis bleached in Feb 1995 and 55% bleached in October 1995.,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1216,24.4994,-76.7142,Atlantic,Bahamas and Florida Keys,Sometimes,0.0429,57.47,5,1999,30.5,299.91,3,0.77,0,-2.48,0.2,15-05-1999,substantial bleaching on fore and back reefs,substantial bleaching on fore and back reefs,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1216,24.4994,-76.7142,Atlantic,Bahamas and Florida Keys,Sometimes,0.0429,57.47,8,1998,30.5,299.91,6,1.18,12.97,1.18,0.2,15-08-1998,substantial bleaching on fore and back reefs,substantial bleaching on fore and back reefs,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1281,24.3301,-74.4642,Atlantic,Bahamas and Florida Keys,Exposed,0.0253,56.84,8,1998,30.5,299.81,6,0.52,9.79,0.47,0.15,15-08-1998,Moderate bleaching,Moderate bleaching,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1322,23.74,-76.066,Atlantic,Bahamas and Florida Keys,Sheltered,0.0444,54.14,9,1987,30.5,299.82,5,0.29,0,0.13,0.36,15-09-1987,"38.2% of coral cover was pale; 1.6% bleached (3 minth after bleaching start) Five of the scleractinian corals that exhibited prolonged bleaching have predominantly massive morphologies  (Colpophyllia natans; Diploria labyrinthiformis; the ""Montastraea an","38.2% of coral cover was pale; 1.6% bleached (3 minth after bleaching start) Five of the scleractinian corals that exhibited prolonged bleaching have predominantly massive morphologies  (Colpophyllia natans; Diploria labyrinthiformis; the ""Montastraea an",Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1336,23.9994,-74.5575,Atlantic,Bahamas and Florida Keys,Sheltered,0.0263,48.13,10,1998,30.5,299.77,7,-0.31,0,-0.96,0.22,15-10-1998,Moderate bleaching,Moderate bleaching,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1337,25.414,-77.923,Atlantic,Bahamas and Florida Keys,Sheltered,0.0491,55.63,10,1998,30.5,299.75,8,0.74,5.38,-1.02,0.25,15-10-1998,60% (GCRMN 2000),60% (GCRMN 2000),Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1338,26.5914,-77.9041,Atlantic,Bahamas and Florida Keys,Sheltered,0.0503,60.78,10,1998,30.5,299.56,8,-0.41,1.87,-2.33,0.21,15-10-1998,60% (GCRMN 2000),60% (GCRMN 2000),Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1357,26.9029,50.9448,Arabian Gulf,Persian Gulf,Sheltered,0.1122,46.55,8,1998,30.5,299.45,2,3.16,24.51,3.15,0.85,15-08-1998,0.5,0.5,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1468,16,-88,Atlantic,Belize and west Caribbean,Exposed,0.0773,49.3,8,2008,30.5,301.55,4,0.66,0,0.62,0.67,15-08-2008,Average Hard coral: 65% Soft coral: 5% Bleached Hard coral: % Soft coral: 0%  Locattion:  Northwest side of caye surveyed. Loggerhead caye is located between whipraye caye (on the N) and French Louis Caye (on the S)  Diploria  strigosa  (95  % bleach,Average Hard coral: 65% Soft coral: 5% Bleached Hard coral: % Soft coral: 0%  Locattion:  Northwest side of caye surveyed. Loggerhead caye is located between whipraye caye (on the N) and French Louis Caye (on the S)  Diploria  strigosa  (95  % bleach,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1551,16.6186,-88.2309,Atlantic,Belize and west Caribbean,Sheltered,0.098,54,9,1998,30.5,301.27,4,0.99,3.86,0.99,0.68,15-09-1998,85% Montastrea annularis severly bleached,85% Montastrea annularis severly bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1552,17.0022,-88.0101,Atlantic,Belize and west Caribbean,Exposed,0.0843,53.96,9,1998,30.5,301.12,4,1.44,1.76,1.44,0.54,15-09-1998,moderate-severe,moderate-severe,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1553,17.18,-88.08,Atlantic,Belize and west Caribbean,Sheltered,0.1633,53.79,9,1998,30.5,301.09,4,1.47,1.54,1.47,0.63,15-09-1998,25-30% bleached,25-30% bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1554,17.27,-87.82,Atlantic,Belize and west Caribbean,Sheltered,0.0328,56.08,9,1998,30.5,301.03,4,-0.28,3.09,-0.28,0.62,15-09-1998,25-30% bleached,25-30% bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1555,17.33,-88.03,Atlantic,Belize and west Caribbean,Sometimes,0.0489,53.43,9,1998,30.5,301.04,4,1.59,1.6,1.59,0.52,15-09-1998,25-30% bleached,25-30% bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1556,17.4167,-87.8333,Atlantic,Belize and west Caribbean,Sheltered,0.0357,54.59,9,1998,30.5,300.96,4,0.31,1.21,0.31,0.64,15-09-1998,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C.,The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C.,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1557,17.4833,-88.05,Atlantic,Belize and west Caribbean,Sheltered,0.0473,52.39,9,1998,30.5,301.07,4,0.53,1.4,0.53,0.52,15-09-1998,Moderate bleaching; The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C. Bleaching was between 25-30%.,Moderate bleaching; The bleaching is correlated with exceptionally warm water; and calm weather. Water temperatures have been consistently between 30-32C; and on the surface near some of the cayes; it was between 36-38C. Bleaching was between 25-30%.,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1558,17.4911,-88.0462,Atlantic,Belize and west Caribbean,Sheltered,0.0473,52.39,9,1998,30.5,301.07,4,0.53,1.4,0.53,0.52,15-09-1998,25-30% bleached,25-30% bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1559,17.5,-87.85,Atlantic,Belize and west Caribbean,Sheltered,0.0388,52.39,9,1998,30.5,300.91,4,0.9,1,0.9,0.48,15-09-1998,25-30% bleached,25-30% bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1582,16.73,-87.77,Atlantic,Belize and west Caribbean,Exposed,0.0373,47.91,10,1998,30.5,301.11,3,0.45,2.66,0.04,0.58,15-10-1998,low bleaching,low bleaching,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1588,16.77,-88.07,Atlantic,Belize and west Caribbean,Sometimes,0.046,49.04,10,1998,30.5,301.12,3,0.31,4.4,-0.12,0.64,15-10-1998,partially bleached Agaricia tenuifolia,partially bleached Agaricia tenuifolia,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1592,16.6155,-88.0669,Atlantic,Belize and west Caribbean,Exposed,0.1289,59.29,10,1998,30.5,301.26,3,0.09,5.57,-0.45,0.77,15-10-1998,moderate-severe,moderate-severe,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1593,16.79,-87.69,Atlantic,Belize and west Caribbean,Exposed,0.0326,47.62,10,1998,30.5,301.04,3,0.13,2.05,-0.16,0.43,15-10-1998,moderate-severe,moderate-severe,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1647,32.43,-64.65,Atlantic,Bermuda,Exposed,0.0619,67.55,8,2000,30.5,296.05,6,0.63,5,0.62,0.13,15-08-2000,20% bleached,20% bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
1888,19.7231,-80.0463,Atlantic,Cuba and Cayman Islands,Sometimes,0.0262,54.84,8,1998,30.5,301.09,4,1.31,3.04,1.19,0.29,15-08-1998,Acropora; montastrea; millepora,Acropora; montastrea; millepora,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
2068,-27.1,-109.3,Pacific,Easter Island south central Pacific,Exposed,0.0219,50.08,6,1980,30.5,295.56,nd,nd,nd,nd,2.16,15-06-1980,average of 85-90% coral colonies affected down to 10m,average of 85-90% coral colonies affected down to 10m,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
2184,2.96,-78.175,Pacific,Colombia Ecuador and Chile Pacific coast,Sheltered,0.1296,51.8,4,1998,30.5,299.99,2,1.79,41.7,1.62,1.58,15-04-1998,1% bl started July 97 on distal br tips (temps 28-29c). Dec 97 (temp 28-30c) mod. but widespread bl. Apr 98 mean bleached coral = 25%.  May 98 (temp 30.8c) all Pavonas varians bl to 3m. June 98 mean bl coral = 25%. Aug 98 reef recovery bl low.,1% bl started July 97 on distal br tips (temps 28-29c). Dec 97 (temp 28-30c) mod. but widespread bl. Apr 98 mean bleached coral = 25%.  May 98 (temp 30.8c) all Pavonas varians bl to 3m. June 98 mean bl coral = 25%. Aug 98 reef recovery bl low.,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
2190,2.98,-78.17,Pacific,Colombia Ecuador and Chile Pacific coast,Sheltered,0.1296,51.8,5,1998,30.5,299.99,4,3.09,44.18,3.09,1.58,15-05-1998,Bl st'd Oct97 m'ly br tips Poc. Apr98 mod but w'sprd. Poc part bl'd; Pav 60% col. surf bl'd & alg o'grth in patches. May98 adv & w'sprd bl'g  All mass to 4m tot bl'd. 15-32% bl'd total. Aug98 all Pav sp to 4m bl'd & tops rec. dead. Poc 50-90% bl'd,Bl st'd Oct97 m'ly br tips Poc. Apr98 mod but w'sprd. Poc part bl'd; Pav 60% col. surf bl'd & alg o'grth in patches. May98 adv & w'sprd bl'g  All mass to 4m tot bl'd. 15-32% bl'd total. Aug98 all Pav sp to 4m bl'd & tops rec. dead. Poc 50-90% bl'd,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
2196,3,-78.16,Pacific,Colombia Ecuador and Chile Pacific coast,Sheltered,0.1158,51.84,5,1998,30.5,300,4,3.36,42.93,3.36,1.46,15-05-1998,All pocillopora bleached 1-4m; Massive Pavona & Porites totally bleached,All pocillopora bleached 1-4m; Massive Pavona & Porites totally bleached,Bleaching percentage averaged from code: Moderate (11-50% Bleached)
